"","x"
"1","EXOC5"
"2","XRN2"
"3","TM9SF3"
"4","RAB10"
"5","YME1L1"
"6","SH3GLB1"
"7","ATAD1"
"8","SMIM13"
"9","MOB1A"
"10","PIK3C2A"
"11","EIF4G2"
"12","ITGB1"
"13","VPS26A"
"14","PITPNB"
"15","CCNYL1"
"16","ERI1"
"17","CDC42SE2"
"18","GPATCH2L"
"19","SOCS7"
"20","TFG"
"21","NFKB2"
"22","SERPINB8"
"23","IRAK2"
"24","VAPA"
"25","NAA15"
"26","CA13"
"27","SPRING1"
"28","CCT6A"
"29","CYLD"
"30","SAR1A"
"31","CHMP4B"
"32","NAA50"
"33","GORASP2"
"34","ABCF1"
"35","MED1"
"36","MARCHF5"
"37","HCCS"
"38","SEC24A"
"39","TAF13"
"40","GOLT1B"
"41","SRP68"
"42","BLOC1S6"
"43","PSMD12"
"44","ZUP1"
"45","CORO1C"
"46","ABHD5"
"47","OGFOD1"
"48","CDV3"
"49","ETF1"
"50","TRAF4"
"51","RNF4"
"52","HMGA1"
"53","IL15RA"
"54","SAP30BP"
"55","STK40"
"56","DDX20"
"57","SLC7A1"
"58","YTHDF2"
"59","AHCTF1"
"60","STK17A"
"61","GAPVD1"
"62","ZW10"
"63","SOCS4"
"64","MTA2"
"65","PPP4R1"
"66","RNPS1"
"67","ZNFX1"
"68","RNF126"
"69","ANKLE2"
"70","RNF149"
"71","CKAP4"
"72","UTP4"
"73","SNHG16"
"74","RANGAP1"
"75","VDAC2"
"76","MYL12B"
"77","TRAF3"
"78","TEAD4"
"79","MAPKAPK2"
"80","TNIP2"
"81","HMGXB3"
"82","MAP3K3"
"83","GATAD2A"
"84","ZBED4"
"85","HNRNPAB"
"86","HNRNPM"
"87","ARMC8"
"88","SMG7"
"89","TNIP1"
"90","ATG13"
"91","DCAF12"
"92","RECQL"
"93","CANT1"
"94","CDYL2"
"95","ICE1"
"96","TMEM43"
"97","NUP188"
"98","FTSJ1"
"99","AGFG1"
"100","E2F4"
"101","MTPN"
"102","DEGS1"
"103","DRAM1"
"104","CSNK1G1"
"105","CAMSAP2"
"106","TMEM165"
"107","PLXNA1"
"108","ARPC5L"
"109","PGM3"
"110","NUDCD1"
"111","TNPO1"
"112","DCAF13"
"113","FAF2"
"114","LTN1"
"115","CLP1"
"116","EIF4E"
"117","THAP12"
"118","EIF2S1"
"119","CSGALNACT2"
"120","CDC27"
"121","ATP6V1B2"
"122","CCNJ"
"123","MFHAS1"
"124","DHX15"
"125","PRKCI"
"126","DENND5A"
"127","PPP2R5E"
"128","FBXO45"
"129","CSNK2A1"
"130","PPM1G"
"131","SLC30A7"
"132","GTF3C4"
"133","USP7"
"134","WAPL"
"135","CHUK"
"136","RIF1"
"137","UBA2"
"138","UBE2D2"
"139","FAM89A"
"140","ARF1"
"141","PBDC1"
"142","CCT8"
"143","TXNDC9"
"144","LYN"
"145","NSMAF"
"146","CCT5"
"147","SGTA"
"148","BMS1"
"149","CD276"
"150","EMC8"
"151","SMAGP"
"152","PDXK"
"153","EIF3A"
"154","SYNCRIP"
"155","BRAP"
"156","TPD52L2"
"157","PRDM4"
"158","GSPT1"
"159","STX12"
"160","MICALL1"
"161","SEC23IP"
"162","IPO7"
"163","SUPT6H"
"164","UBE2Z"
"165","RBM15B"
"166","SENP5"
"167","RNF6"
"168","BAG5"
"169","RAB35"
"170","CALU"
"171","CRK"
"172","TBC1D15"
"173","LRRFIP2"
"174","RAB22A"
"175","BFAR"
"176","ZNF398"
"177","MRFAP1"
"178","COPS3"
"179","TAF5L"
"180","ATP11B"
"181","YES1"
"182","MIER1"
"183","DR1"
"184","USP12"
"185","KPNA4"
"186","ZNF800"
"187","RP2"
"188","GNAI3"
"189","RAP1B"
"190","RHEB"
"191","KHDRBS1"
"192","KMT5A"
"193","DNM1L"
"194","CCDC50"
"195","NIPBL"
"196","MCMBP"
"197","ABI1"
"198","RAC1"
"199","MORF4L1"
"200","SNW1"
"201","RSL24D1"
"202","UBE2J1"
"203","UFM1"
"204","NRAS"
"205","PPP2CA"
"206","SBDS"
"207","CNEP1R1"
"208","MBNL1"
"209","E2F6"
"210","KCTD9"
"211","NUP153"
"212","TMF1"
"213","CTNNAL1"
"214","UBE2D1"
"215","NCR3LG1"
"216","NANS"
"217","ANKRD40"
"218","PRELID3B"
"219","COPS2"
"220","RPF1"
"221","WDR82"
"222","PTP4A2"
"223","RAB1A"
"224","CDK7"
"225","CAPZA1"
"226","PRPF40A"
"227","UBE2I"
"228","ANXA2P2"
"229","BLOC1S2"
"230","EIF3J"
"231","UBE2N"
"232","NPM1"
"233","PTPN12"
"234","RBM17"
"235","FUBP1"
"236","FKBP1A"
"237","SUPT16H"
"238","METTL1"
"239","SETX"
"240","DKC1"
"241","LGALS8"
"242","PUM3"
"243","BTBD10"
"244","ADPRS"
"245","FIP1L1"
"246","UTP11"
"247","CD2BP2"
"248","ISG20L2"
"249","PAK1IP1"
"250","SMARCA5"
"251","MED10"
"252","C1orf216"
"253","TAF2"
"254","DERL1"
"255","FAM98A"
"256","NIP7"
"257","ZDHHC18"
"258","COPS8"
"259","SNRPD1"
"260","SNU13"
"261","RABGGTB"
"262","RAN"
"263","NCL"
"264","EIF2S2"
"265","DDX50"
"266","SRPRB"
"267","PDRG1"
"268","NIFK"
"269","PRPF4"
"270","DNAJC2"
"271","SRP72"
"272","CEBPZ"
